OYO Premium Mysore Railway Station	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Siddharth Palace	[1: ¬(Bathroom_Bathroom; 1)=0.79 2: ¬(Bathroom_Toilet; 1)=0.77 3: ¬(Bathroom_Shower; 1)=0.72]
Hotel Lord Shiva	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Food & Drink_Restaurant; 1)=0.42 3: ¬(Living Area_Desk; 1)=0.33]
Monarch Inn	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.57 2: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.48 3: ¬(General_Non-smoking rooms; 1)=0.43]
Parakkat Estate Resort	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Kohinoor Executive	[1: ¬(property_type; 204)=0.8 2: ¬(Cleaning services_Laundry; 1)=0.63 3: ¬(Cleaning services_Ironing service; 1)=0.56]
Hotel Plaza One	[1: ¬(General_Newspapers; 1)=0.64 2: ¬(Bathroom_Free toiletries; 1)=0.58 3: ¬(Cleaning services_Laundry; 1)=0.55]
Rainbow Rentals (Danika Residency)	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Hotel Flowers Inn	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Iora Guest House	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Shower; 1)=0.53 3: ¬(property_type; 204)=0.38]
Hotel Backpackers Inn	[1: ¬(Outdoors_Garden; 1)=0.45 2: ¬(General_Newspapers; 1)=0.45 3: ¬(Food & Drink_Restaurant; 1)=0.45]
Harmonium Resorts Agonda	[1: ¬(property_type; 204)=0.85 2: ¬(General_Newspapers; 1)=0.79 3: ¬(Bathroom_Bathroom; 1)=0.76]
Green's Guesthouse	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
Springwood Guest House CL-266	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Fan; 1)=0.46 3: ¬(Bathroom_Free toiletries; 1)=0.45]
Daksh Hotel And Restaurant	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Bathroom_Shower; 1)=0.53]
